Nom,Lat,Long
DENFERT ROCHEREAU,48.833358,2.331889
INVALIDES,48.8611874,2.31497571
MUSEE D'ORSAY,48.86049539,2.32633621
TERNES,48.87732826,2.29957178
TURENNE,48.85467365,2.36304358
CHELLES GOURNAY,48.874577,2.582307
MELUN,48.5278861661,2.65575982997
RAMBOUILLET,48.6440164575,1.83037629189
ST GERMAIN EN LAYE,48.8967949285,2.09082912075
JUVISY,48.688713,2.381826
BOURG LA REINE,48.7802787314,2.31370737143
ASNIERES,48.906885,2.285708
CLICHY LEVALLOIS,48.89807582,2.31022149
NOGENT LE PERREUX,48.838305,2.48673
BOHAIN,49.98859043,3.44261951
CHATEAU THIERRY,49.03790955,3.40941055
BAYEUX,49.2694443,-0.69771168
DIVES CABOURG,49.28235965,-0.10986831
MEZIDON,49.07086722,-0.07496612
PONT L'EVEQUE,49.28702429,0.19196911
BUEIL,48.92508991,1.44377555
VERNON GIVERNY,49.091499,1.478711
AUNEAU,48.44541278,1.77971775
BROU,48.21711415,1.16149779
CHARTRES,48.4477578019,1.48188638006
EPERNON,48.60508434,1.68167617
VOVES,48.27497443,1.62215753
AVRANCHES,48.69040896,-1.369974
PONTORSON MONT ST MICHEL,48.55244449,-1.50506758
ST LO,49.11589479,-1.10108931
VILLEDIEU LES POELES,48.83415156,-1.22545495
ASCQ,50.6219674,3.15901709
BERGUES,50.96846098,2.42575596
DENAIN,50.33478471,3.38808258
DOUAI,50.371834,3.090447
GRAVELINES,50.97848895,2.12593163
HAUBOURDIN,50.60707768,2.99048359
HAZEBROUCK,50.72514156,2.54162562
LOMME,50.644104,3.012402
MONTIGNY EN OSTREVENT,50.36144293,3.18928164
ST ANDRE NORD,50.65420785,3.0442525
ABANCOURT,49.68525261,1.77443365
BEAUVAIS,49.42622129,2.08793703
BRETEUIL EMBRANCHEMENT,49.62664983,2.38409524
CHAMBLY,49.16356959,2.24037344
CHANTILLY GOUVIEUX,49.18697915,2.45956612
CLERMONT DE L'OISE,49.38544509,2.41751935
COMPIEGNE,49.4227186,2.82444244
CREIL,49.26409256,2.46905706
NOYON,49.57682403,3.00570655
RIBECOURT,49.50615765,2.92726507
ARGENTAN,48.73845947,-0.02572377
BULLY GRENAY,50.44897699,2.73221197
MARQUISE RINXENT,50.80524408,1.73131495
MONTREUIL SUR MER,50.4666912,1.7688053
NOEUX,50.48299973,2.67468692
RANG DU FLIERS VERTON,50.41584582,1.64806298
DIEPPE,49.91678976,1.08116874
ELBEUF ST AUBIN,49.3034738,1.00925593
LE HAVRE,49.493152,0.125281
MAROMME,49.47994703,1.05085481
HAM,49.73952636,3.07051505
NESLE SOMME,49.76403797,2.90936145
NOYELLES SUR MER,50.18702017,1.70453407
RUE,50.27315448,1.67583768
AX LES THERMES,42.72496009,1.83374002
SAVERDUN,43.23942087,1.57042184
RODEZ,44.36265218,2.58025315
ST CHRISTOPHE MARCILLAC,44.46468683,2.407487
COGNAC,45.6844549,-0.32616413
RUELLE,45.67622394,0.22124287
JONZAC,45.43871422,-0.4420025
MONTENDRE,45.28059563,-0.39605927
ST JEAN D'ANGELY,45.94088275,-0.50980346
CHATEAUNEUF SUR CHER,46.85576906,2.3116285
GIVET,50.14025278,4.81793944
MONTHERME,49.86554941,4.74099611
CHALONS EN CHAMPAGNE,48.955035,4.348264
REIMS,49.258466,4.024848
SUIPPES,49.11998777,4.54398456
VITRY LE FRANCOIS GARE,48.7177326,4.58723196
BLAINVILLE DAMELEVIERES,48.56457697,6.38710088
COMMERCY,48.76576823,5.58891956
BITCHE,49.04842371,7.4325731
BOUZONVILLE,49.29010996,6.52926028
FAULQUEMONT,49.04567661,6.60394814
LORRAINE TGV,48.9478,6.1697
MAIZIERES LES METZ,49.21611028,6.1582885
REMILLY,49.01484147,6.39391541
ROMBAS CLOUANGE,49.25586416,6.09836095
SCHIRMECK LA BROQUE,48.4804585,7.21619526
SELESTAT,48.25963804,7.44210277
SOULTZ SOUS FORETS,48.93451375,7.88214481
MUNSTER,48.03824675,7.13283698
BRUYERES,48.20475871,6.71921204
CORNIMONT,47.962174,6.837472
LE THILLOT,47.880605,6.76347
MIRECOURT,48.2997125,6.12877391
RAON L'ETAPE,48.4037414,6.83688554
REMIREMONT,48.01636734,6.59904066
THAON,48.24470632,6.41595435
BOULAINVILLIERS,48.85608584,2.27537557
LES OLYMPIADES,48.8266252,2.36456939
ST QUENTIN EN YVELINES,48.786473713,2.04485319646
LA DEFENSE RER A,48.8918,2.2386
RAINCY VILLEMONBLE,48.889463,2.512621
VILLENEUVE ST GEORGES,48.729969,2.446886
ANIZY PINON,49.49586412,3.44841696
LA FERE,49.6578652,3.36977757
MARLE SUR SERRE,49.74699512,3.76912608
VERNEUIL SUR AVRE,48.74277169,0.92928136
EVREUX - NORMANDIE,49.01897371,1.14878476
BONNEVAL,48.18628757,1.38611673
MAINTENON,48.58536431,1.59245486
CARENTAN,49.30180335,-1.2420982
COUTANCES,49.04279661,-1.44126699
HAUTMONT,50.25379503,3.91548766
JEUMONT,50.29673053,4.08918774
LE QUESNOY,50.25021803,3.64606647
LESQUIN,50.58917678,3.11933104
RONCHIN,50.6042402,3.07837762
ROUBAIX,50.695406,3.163795
SECLIN,50.54828103,3.03491424
ST AMAND LES EAUX,50.44311876,3.41874877
BORNEL BELLE EGLISE,49.19449995,2.20687792
ORRY LA VILLE COYE,49.13896455,2.48949839
ST JUST EN CHAUSSEE,49.50351385,2.4291106
ST SULPICE AUTEUIL,49.3478436,2.11590096
ST LEU D'ESSERENT,49.21415721,2.41814378
BRIOUZE,48.70200316,-0.36744375
ARRAS,50.287216,2.781105
BETHUNE,50.531036,2.63926
BILLY MONTIGNY,50.41531393,2.91166597
BOULOGNE VILLE,50.7156,1.6098
CALAIS FRETHUN,50.904763,1.811342
CALAIS VILLE,50.952561,1.850123
FECAMP,49.75945993,0.37388767
OISSEL,49.34309724,1.10197128
ABBEVILLE,50.10195959,1.82422275
ALBERT,50.00519358,2.6431164
AMIENS,49.8902117923,2.30752135448
CORBIE,49.91198389,2.50004672
TARASCON SUR ARIEGE,42.84945283,1.60003103
ANGOULEME,45.6534454501,0.164933286984
CHATEAUNEUF SUR CHARENTE,45.59997146,-0.05020679
LA ROCHEFOUCAULD,45.74045531,0.38971764
ROUMAZIERES LOUBERT,45.88936136,0.57882285
PONS,45.57808794,-0.53900142
ROYAN,45.62551453,-1.01719776
SURGERES,46.11341598,-0.76213303
AVORD,47.03484236,2.6523671
BOURGES,47.093451,2.39407
MEHUN SUR YEVRE,47.13897824,2.20722317
POMPADOUR,45.395226,1.387239
TULLE,45.25883951,1.75580592
GUINGAMP,48.5551556964,-3.14623037819
PAIMPOL,48.77670477,-3.04635539
ST BRIEUC,48.50775,-2.764157
LALINDE,44.83964412,0.74271405
LES EYZIES,44.94106958,1.00826678
MONTPON MENESTEROL,45.00620876,0.15944334
ST ASTIER,45.1389132,0.52288611
LANDERNEAU,48.45383363,-4.25620875
CAZERES SUR GARONNE,43.21290097,1.08276713
LUCHON,42.79727811,0.59660863
PORTET ST SIMON,43.5279197,1.38902062
ARCACHON,44.6585777,-1.16471656
BEAUTIRAN,44.7013885,-0.45091371
BEGLES,44.79977689,-0.55534062
CERONS,44.63297554,-0.34112069
LA HUME,44.63996951,-1.1162956
STE FOY LA GRANDE,44.83675537,0.22148273
ALMA,48.08242,-1.679002
FOUGERES,48.354071,-1.199474
MONTFORT SUR MEU,48.13899222,-1.94885546
BAR SUR AUBE,48.23854994,4.70683803
NOGENT SUR SEINE,48.49783702,3.4937079
DORMANS,49.07925068,3.64172773
EPERNAY,49.046758,3.958392
CULMONT CHALINDREY,47.81001873,5.44245538
CHAUMONT,48.10945433,5.13444549
LANGRES,47.87725486,5.34468027
ST DIZIER,48.6428056,4.94718655
JOEUF,49.22449404,6.01707623
LUNEVILLE,48.58809608,6.50793866
NANCY,48.6895567438,6.17499516303
PONT A MOUSSON,48.9007986,6.04992546
METZ VILLE,49.10976732,6.1761595
METZ,49.10976732,6.1761595
MORHANGE,48.93669099,6.6593863
BISCHWILLER,48.76542544,7.85118911
MOLSHEIM,48.53752463,7.50020612
SAVERNE,48.74477891,7.36215238
ST LOUIS,47.59036625,7.55553043
THANN,47.8091073,7.10700049
CONTREXEVILLE,48.17928145,5.889968
NEUFCHATEAU,48.35715705,5.68934909
RAMBERVILLERS,48.346842,6.635484
ST DIE DES VOSGES,48.28202483,6.94729518
AIX LA CHAPELLE,50.7680669,6.08015
BELLEVILLE,48.8746617005,2.38720532955
GRANDS BOULEVARDS,48.8711612285,2.3449034067
PONT NEUF,48.8602534164,2.34426563778
COMMERCE,48.84738117,2.29615286
ITALIE 2,48.829429,2.355752
PEREIRE,48.88546139,2.29771972
PARIS SAINT-LAZARE,48.87648202,2.32688606
PARIS BERCY,48.8399404338,2.38239239406
PARIS LYON,48.845594,2.373304
MARNE LA VALLEE CHESSY,48.8705226058,2.78344295943
POISSY,48.9320762706,2.04069916078
VERSAILLES RIVE DROITE,48.80952738,2.13374421
EVRY COURCOURONNES,48.65860328,2.41462111
BOULOGNE BILLANCOURT,48.836789,2.239342
NEUILLY SUR SEINE,48.8845074181,2.26859546607
NOISY LE GRAND LES ARCADES,48.838435,2.54572
SAINT DENIS,48.93602177,2.34564627
CRETEIL SOLEIL,48.779729,2.457443
ENGHIEN LES BAINS,48.973288,2.306571
ERMONT EAUBONNE,48.9796724438,2.27165880591
CERGY PREFECTURE,49.04501,2.020135
CHAUNY,49.61046776,3.22265067
LAON,49.57088217,3.62376091
SOISSONS,49.36904142,3.33786904
ST QUENTIN,49.840556317,3.29788000111
LA FERTE MILON,49.17954708,3.12101402
LECLERC,49.18153776,-0.36164781
LISIEUX,49.145922,0.227849
LISON,49.22705349,-1.05028492
BERNAY,49.08698855,0.595728
DREUX,48.731596,1.370027
ST PIAT,48.54243185,1.59008904
GRANVILLE,48.8380621318,-1.58857831049
AULNOYE AYMERIES,50.19721269,3.84375332
BAILLEUL,50.72899745,2.73406102
CAUDRY,50.11137456,3.40962458
COMINES FRANCE,50.76109768,3.0101204
DUNKERQUE,51.030568,2.369705
FOURMIES,50.01541362,4.05372952
LE CATEAU,50.09115924,3.54061345
LILLE EUROPE,50.639717,3.074911
LILLE,50.639717,3.074911
ORCHIES,50.47729441,3.24939055
TOURCOING,50.717357,3.167901
VALENCIENNES,50.363289,3.517991
VILLENEUVE D'ASCQ,50.631621,3.153336
WAVRIN,50.57523092,2.93757695
HERMES BERTHECOURT,49.3545,2.2417
MERU,49.23293089,2.13225517
MONTATAIRE,49.25118615,2.436936
NANTEUIL LE HAUDOUIN,49.1421717,2.79383847
THOUROTTE,49.47530102,2.88180525
L'AIGLE,48.7666838,0.62073331
AVION,50.40648455,2.83333241
BOULOGNE TINTELLERIES,50.72710949,1.60960958
CALONNE RICOUART,50.48313467,2.48191859
ETAPLES LE TOUQUET,50.51690234,1.64347897
HENIN BEAUMONT,50.41610336,2.95072879
LENS,50.427108,2.828573
ST OMER,50.7535956,2.26769681
ST POL SUR TERNOISE,50.3788526,2.33903655
BARENTIN EMBRANCHEMENT,49.55012384,0.95332578
LE PALAIS,49.441777,1.093428
SERQUEUX,49.631268,1.53952371
YVETOT,49.62211267,0.75007177
CHAULNES,49.8075778,2.80040579
LONGUEAU,49.857504,2.348754
MOREUIL,49.77688245,2.47561209
ANDORRE L'HOSPITALET,42.58826847,1.79863765
PAMIERS,43.11608176,1.61975949
VARILHES,43.04149004,1.62857558
SAINTES,45.74784288,-0.61757581
ST AMAND MONTROND ORVAL,46.72643117,2.48578654
ST FLORENT SUR CHER,46.9930334,2.25272608
VIERZON VILLE,47.226246,2.059563
BROONS,48.33335723,-2.23643174
LOCHES,47.13040021,1.0009696
PETITE ARCHE,47.42817,0.696604
PORT BOULET,47.24852658,0.15486884
LABENNE,43.58713632,-1.42877899
LABOUHEYRE,44.21103407,-0.92134749
BLOIS,47.5847838908,1.32417763229
ROMORANTIN BA,47.35624953,1.73911881
SALBRIS,47.42516689,2.04756436
SELLES SUR CHER,47.28175674,1.54611529
VENDOME,47.8014033403,1.06725120876
VENDOME VILLIERS SUR LOIR,47.822001,1.021171
ANCENIS,47.36945823,-1.17759503
CHANTENAY,47.19670503,-1.59595728
MACHECOUL,46.99031737,-1.82247487
REZE PONT ROUSSEAU,47.193132,-1.54969894
SAVENAY,47.35851289,-1.95141501
ST NAZAIRE,47.2859733599,-2.21099733457
BEAUGENCY,47.7782396,1.62571426
ST DENIS PRES MARTEL,44.94579181,1.6662866
FIGEAC,44.60370252,2.03677357
GOURDON,44.74181022,1.38954212
MAISON DE LA MOBILITE,44.405908,0.706807
ANGERS ST LAUD,47.464798,-0.556195
ANGERS SAINT LAUD,47.464798,-0.556195
CHALONNES,47.34287281,-0.74363749
LORIENT,47.75603,-3.370681
QUIBERON,47.48552442,-3.11816918
ARTIX,43.39296485,-0.57011174
CAMBO LES BAINS,43.36522924,-1.39616813
PUYOO,43.52451517,-0.91054108
LATOUR DE CAROL ENVEITG,42.45815677,1.90584041
ARNAGE,47.92844086,0.18994415
MOISSAC,44.10257667,1.07759222
VALENCE D'AGEN,44.11184592,0.89179102
CHANTONNAY,46.68999387,-1.05461144
LUCON,46.46380082,-1.16745057
CHATELLERAULT,46.81860477,0.5490911
MONTMORILLON,46.41733187,0.87375628
POITIERS,46.580817,0.332804
BUSSIERE GALANT,45.6266804,1.0363381
MEXIMIEUX PEROUGES,45.90168298,5.19354715
COMMENTRY,46.29523421,2.73950466
MOULINS SUR ALLIER,46.560757,3.33822
ST GERMAIN DES FOSSES,46.20885676,3.43078228
LARAGNE,44.31648398,5.81893421
CROS DE CAGNES,43.66024462,7.16621296
JUAN LES PINS,43.5707329,7.11078721
MENTON GARAVAN,43.7850885,7.51706752
NICE ST AUGUSTIN,43.67115051,7.21735917
NICE VILLE,43.7039011402,7.2613858425
AIX EN PROVENCE,43.524917,5.446312
CASSIS,43.23398663,5.55314681
GARDANNE,43.45636286,5.46346483
